model,disease,metric,value,ci_lower,ci_upper,is_proposed
ALIGATEHR-Gen,Type 2 Diabetes,AUROC,0.8137,0.7992,0.8515,True
ALIGATEHR-Gen,Type 2 Diabetes,AUPRC,0.8284,0.8199,0.842,True
ALIGATEHR-Gen,Type 2 Diabetes,F1,0.8546,0.8276,0.8673,True
ALIGATEHR-Gen,Type 2 Diabetes,Precision,0.8164,0.8128,0.8175,True
ALIGATEHR-Gen,Type 2 Diabetes,Recall,0.8308,0.7427,0.8432,True
ALIGATEHR-Gen,Coronary Heart Disease,AUROC,0.8567,0.8386,0.8661,True
ALIGATEHR-Gen,Coronary Heart Disease,AUPRC,0.7976,0.7817,0.8096,True
ALIGATEHR-Gen,Coronary Heart Disease,F1,0.8058,0.7967,0.8283,True
ALIGATEHR-Gen,Coronary Heart Disease,Precision,0.8289,0.7512,0.8321,True
ALIGATEHR-Gen,Coronary Heart Disease,Recall,0.7925,0.7915,0.83,True
ALIGATEHR-Gen,CKD,AUROC,0.8755,0.8646,0.8777,True
ALIGATEHR-Gen,CKD,AUPRC,0.8882,0.8771,0.8893,True
ALIGATEHR-Gen,CKD,F1,0.8805,0.8627,0.8814,True
ALIGATEHR-Gen,CKD,Precision,0.9096,0.8552,0.9136,True
ALIGATEHR-Gen,CKD,Recall,0.8854,0.8794,0.9306,True
ALIGATEHR-Gen,COPD,AUROC,0.8984,0.8631,0.9281,True
ALIGATEHR-Gen,COPD,AUPRC,0.8798,0.8479,0.8877,True
ALIGATEHR-Gen,COPD,F1,0.8766,0.8502,0.8911,True
ALIGATEHR-Gen,COPD,Precision,0.8831,0.8811,0.9125,True
ALIGATEHR-Gen,COPD,Recall,0.8765,0.847,0.8957,True
ALIGATEHR-Gen,Atrial Fibrillation,AUROC,0.8231,0.8168,0.8448,True
ALIGATEHR-Gen,Atrial Fibrillation,AUPRC,0.7984,0.7943,0.8121,True
ALIGATEHR-Gen,Atrial Fibrillation,F1,0.8259,0.8058,0.8435,True
ALIGATEHR-Gen,Atrial Fibrillation,Precision,0.7928,0.7788,0.8196,True
ALIGATEHR-Gen,Atrial Fibrillation,Recall,0.8346,0.7867,0.8412,True
ALIGATEHR-Gen,Heart Failure,AUROC,0.8694,0.8308,0.89,True
ALIGATEHR-Gen,Heart Failure,AUPRC,0.8498,0.8266,0.8574,True
ALIGATEHR-Gen,Heart Failure,F1,0.8947,0.833,0.9094,True
ALIGATEHR-Gen,Heart Failure,Precision,0.8875,0.8596,0.9058,True
ALIGATEHR-Gen,Heart Failure,Recall,0.9426,0.9419,0.9487,True
ALIGATEHR-Gen,Asthma,AUROC,0.8745,0.8615,0.8945,True
ALIGATEHR-Gen,Asthma,AUPRC,0.8734,0.8281,0.8812,True
ALIGATEHR-Gen,Asthma,F1,0.8829,0.8768,0.934,True
ALIGATEHR-Gen,Asthma,Precision,0.8576,0.844,0.884,True
ALIGATEHR-Gen,Asthma,Recall,0.8396,0.8352,0.8879,True
XGBoost,Type 2 Diabetes,AUROC,0.8596,0.8504,0.8755,False
XGBoost,Type 2 Diabetes,AUPRC,0.847,0.809,0.8744,False
XGBoost,Type 2 Diabetes,F1,0.8147,0.7822,0.8185,False
XGBoost,Type 2 Diabetes,Precision,0.8476,0.83,0.8755,False
XGBoost,Type 2 Diabetes,Recall,0.844,0.8162,0.859,False
XGBoost,Coronary Heart Disease,AUROC,0.7783,0.7545,0.7849,False
XGBoost,Coronary Heart Disease,AUPRC,0.8155,0.7942,0.8472,False
XGBoost,Coronary Heart Disease,F1,0.8223,0.8006,0.8509,False
XGBoost,Coronary Heart Disease,Precision,0.8287,0.7867,0.8574,False
XGBoost,Coronary Heart Disease,Recall,0.8032,0.7905,0.8145,False
XGBoost,CKD,AUROC,0.808,0.8036,0.8327,False
XGBoost,CKD,AUPRC,0.8412,0.7868,0.8694,False
XGBoost,CKD,F1,0.8013,0.7779,0.8227,False
XGBoost,CKD,Precision,0.7928,0.7867,0.8268,False
XGBoost,CKD,Recall,0.8123,0.7776,0.8494,False
XGBoost,COPD,AUROC,0.7972,0.7501,0.8326,False
XGBoost,COPD,AUPRC,0.8401,0.7969,0.8716,False
XGBoost,COPD,F1,0.7934,0.7751,0.8133,False
