visual_reference_id,disease,group,tsne_x,tsne_y
vr_rTjc2g4YhqfEocG2IkIyy0a1,CKD,overlap,-14.180263,21.149042
vr_09SGLgbJCEI3c0xJM8wG_XiK,CKD,overlap,17.816645,27.859941
vr__1H7GVolKGsabnsgsTdG9ssC,CKD,intermediate,11.182188,-22.293741
vr_wNflEJoLA4o0gqu5tzJ5RrgY,CKD,overlap,31.328808,30.229197
vr_N3joBayuD1AnP_svY1wHVQ3q,CKD,pure,6.1191287,6.2192917
vr_JydPHZLteh6Hymzsr-6CZ9Oj,CKD,overlap,-21.391117,-16.911108
vr_Bd5ShwmH68wFs37dXG_etc9m,CKD,overlap,50.70876,-31.051218
vr_ES2KzJyGFqY5slcb-fqkGXyU,CKD,pure,32.863773,-20.42534
vr_GOJGlNGbPc6uvT4RAnvzIh-L,CKD,overlap,43.430264,-33.257416
vr_auBzTzx_9JiKcPt1kGqzRdzv,CKD,overlap,47.860863,-19.31827
vr_UR17pMhod5QKf8FE6A6tSVt-,CKD,overlap,-32.140682,9.2330885
vr_lpUwmOk3yWRj1pSW09o6EaLf,CKD,intermediate,9.966535,-2.7408357
vr_HhSCuClPIbiyRGZgrZ7xHBEe,CKD,overlap,25.832245,8.5281315
vr_IarkCxqfNqYnuEO2rU37w_-n,CKD,overlap,-10.074055,-21.346207
vr_qN2MkFgh8AJ_rb7FUcEACeOv,CKD,overlap,27.334116,-41.75102
vr_E-y0lSEw28tunRmrrDYW3B4W,CKD,intermediate,0.36354652,-6.226767
vr_3GmGKzQcqjR5mO5ZK2LG0wQB,CKD,overlap,41.72219,-32.277878
vr_tMCZtmkCHpC_yhmlXg0yVN4F,CKD,overlap,22.686905,37.043644
vr_WX4W952CfrJooobcsFpqxoow,CKD,pure,-10.892633,-17.234472
vr_Tz9Ep4hY8zP771LL9wYYTLiw,CKD,overlap,2.8672256,31.779518
vr_Fx1KqumxugQkrikA5c8S2gAh,CKD,overlap,43.741264,4.256518
vr_G8qwYfKv2wg3_c-JsgXbtlM9,CKD,overlap,9.240054,20.981546
vr_qpaL7MdwV5dTnasEmwz7LC7B,CKD,overlap,21.33289,-43.903324
vr_t4_qBvw98qEM0XXLufjB7-Zv,CKD,overlap,47.818535,1.994018
vr_J-0r9AQSpoR9xRpekX_lupTt,CKD,overlap,18.084894,-35.64097
vr_R4nfwI1qQ8ZHBphiI7sPnG0D,CKD,pure,0.06891745,14.289209
vr_iwXjqfPyE9_W8K8cbKn5y4je,CKD,pure,12.829256,-16.138517
vr_qckQeCg2w-N5Yqjq3c0RbyEo,CKD,overlap,-16.397623,1.606418
vr_iNRW7Ycsn3FdSi92upsgbMIe,CKD,intermediate,6.5491133,19.51115
vr_d-GSznoMte0UtlPp2KVBkJ8u,CKD,overlap,-30.91319,8.964698
vr_YWCVNpmU10Z7ZhY19bkGluKC,CKD,intermediate,-6.790878,4.5234056
vr_DPWWJUINqbZDwekZJrqZcjIe,CKD,overlap,-15.681837,-21.751945
vr_22GwyoCHfjOsI9_hcr9cScu1,CKD,overlap,17.011711,36.20794
vr_zlNUWYo9mTvA6VcPGHd2ubWC,CKD,intermediate,-8.510286,-18.043768
vr_F2xwVX2JtK2oIe7xUqQRepRp,CKD,intermediate,30.435862,-25.307543
vr_b-dsLh3FzxMkl55N6XkMHsqp,CKD,pure,20.87136,1.1995604
vr_FUcAaLnn7mOFX8dYmTEwD4b9,CKD,overlap,-21.371994,-16.901217
vr_Kr_JeQGEqRp4u7F77hRsnYia,CKD,intermediate,3.137258,-21.025772
vr__LNKXY4LkFjWY1aY2goIAEX-,CKD,overlap,25.897303,8.398987
vr_dm9aKJ6i5_oXLF_NV0W1UZqa,CKD,overlap,39.96265,-27.273203
vr_csBPmuqet6ytFQ3iKruDu4b4,CKD,intermediate,43.167725,-26.298214
vr_GC5g2QqTocUZg8M7RHDA_ci5,CKD,pure,12.468164,6.1373134
vr_NwyDYYKyr2A6xznDAk3d3CLc,CKD,overlap,-16.223572,-13.7531805
vr_TneDdr89CDfe9sIZH_6gDE6h,CKD,overlap,39.00008,0.71898127
vr_dcz1FtxwE-JmqNXYvtRbmV7W,CKD,pure,12.138301,-12.036758
vr_ydZWoTCvFNtiavWnz6gsUd2n,CKD,pure,30.361494,-18.527168
vr_cvUiNhcU-QUDfadTP-q4EIIJ,CKD,overlap,-24.476465,-16.809328
vr_XMYYeBnD9S0lYIL49OvQlW6i,CKD,overlap,27.131144,3.9927082
vr_cjLg_ZonHIDHxMfDVy9YYanH,CKD,intermediate,-4.101576,4.2516084
vr_REkxb6Z4tUNGZLN3rTOTJmzk,CKD,intermediate,23.821846,5.0713143
vr_NfvhrmVgh12ilhibyMWpHOtS,CKD,intermediate,-7.0851254,1.8757389
vr_SSAQ_N3SplJxoHU55gqwye_N,CKD,intermediate,-2.0489957,1.0299597
vr_S_hEZyz0xu3aa3-N19lj1Hwx,CKD,intermediate,5.929278,-15.043389
vr_44ZB6qzR2uqfulN2D3-v4BW_,CKD,pure,-2.4449685,8.030089
vr_UolM3OydFCS80nNW_-rKVQDI,CKD,pure,-6.7471986,3.402902
vr_uIyGM8FJLQf9zUEBkkE44Dky,CKD,pure,16.098333,-18.14801
vr_OD7LxmFBfvY7a3u9zmGlRnRW,CKD,intermediate,-12.366142,12.415701
vr_Glm2xTvCcb1b3_C-A-j_qV3O,CKD,pure,11.8229265,2.2319763
vr_9NjrZfG_NlJaLDVK0m4BccbW,CKD,overlap,21.338005,36.773785
vr_9GCbfVq1Op-_CwvRU22reEZz,CKD,pure,2.566889,-5.788823
vr_yUJy-QX7vyvLo1RIn_etzdYW,CKD,overlap,22.00916,-6.010607
vr_BjN-tzVescf0lxCD7sNb029O,CKD,overlap,30.23244,0.6996798
vr_qbfqqFhoPvGblDFtJ1OHx4RF,CKD,overlap,22.287148,-35.3229
vr_C6wmKZB6JPj6aozGMPCPRBkJ,CKD,overlap,-17.207964,18.54688
vr_EKonoFIQ6oDqymVsQWKRtx2r,CKD,intermediate,38.331482,-7.734469
vr_dBFUo1dFsCDbqr5p8Vf0iAh3,CKD,intermediate,17.913603,17.741732
vr_zKc5eDJj4l_iaYIgV3FEeoV4,CKD,pure,0.023238204,14.915134
vr_FxC8zW3KzMFjbtcAMD1zo-yj,CKD,intermediate,8.235071,12.821219
vr_JYPVXESpgT0HzFAxAS7eKIhh,CKD,overlap,-38.34097,-1.6080312
vr_DnqfZAkyBMP0SPWzOiiMPDGz,CKD,intermediate,11.443081,16.545624
vr_QYarMkPW3hqYvsdYxOGXYp2L,CKD,overlap,-27.724958,-9.654829
vr_1bA1-izYvrhezkc6vPcDMAZP,CKD,pure,17.769972,-20.216002
vr_kLXoq57srSNWMWhCU7kwKHKb,CKD,intermediate,16.809317,0.12228187
vr_xtQO2bb8CFeE9Pgdxe6usT5X,CKD,intermediate,15.063528,-30.962082
vr_sCxLE2Q08UeG8sJs9GKAgzfc,CKD,overlap,18.986282,22.782667
vr_H9zbUZJird26R_1rp7E4JqvL,CKD,overlap,-0.6128407,26.200846
vr_eh2snb2jtVUc5E2l4Q3zdLxC,CKD,pure,26.527246,-26.485182
vr_KZg94oJ2BTuyGc3t9V3pBjoT,CKD,pure,10.829701,4.78531
vr_k21uPyuDl9yYDHuynqELtqLi,CKD,intermediate,31.217413,-32.89443
vr_PZpWMaEzGE_C856ryxTN8EIV,CKD,overlap,23.99806,10.881738
vr_SBz9tQP5BQqueyEe5FAvkiql,CKD,intermediate,-20.819742,-5.5756836
vr_VuL4HGjC3MtyEIIvrfgFdGjx,CKD,intermediate,41.48945,-17.73792
vr__4W1EsfILTPPzump4FN8cXxr,CKD,overlap,5.047184,36.61246
vr_3QZmQSGEXuyE7evjP47-Li9h,CKD,overlap,29.157906,-40.93305
vr_UJsVvHfuyO6Na3OJTwJqlk00,CKD,pure,33.11555,-18.58002
vr_RMYYn0Y8OM3vBDaG98iSjBHl,CKD,intermediate,31.679121,-10.0173235
vr_fYliurp_hjUxLoi3Fmf4AYAD,CKD,overlap,41.434456,9.923886
vr_etMj6_UThbgJ1-jP36THo4_b,CKD,overlap,36.447163,0.32174549
vr_1P98X0TPV_037U7-5sMIx3ae,CKD,pure,9.947994,-7.0588207
vr_Hbsgfqm_1nvHik_ql0bPO_2E,CKD,pure,11.000468,7.799825
vr_8t00iT7hZcKcLbZrYYq6_e4B,CKD,intermediate,31.747498,-20.951916
vr_wmKnahRoTHwSpisNxen5Zwmf,CKD,pure,30.193136,-15.478539
vr_s0UpprW80RgFIpMZfg12lKd6,CKD,intermediate,12.797813,16.803328
vr_paJMgSEcwB_1_FZR6IKJAizO,CKD,overlap,-31.772215,-20.61937
vr_EWTcfmoDKFi7mUHljWz_esPG,CKD,pure,14.335866,-9.409525
vr_iFfJsES6HFV_4vo8lL7qMFBJ,CKD,overlap,46.841133,-11.905336
vr_OeWtBOz6Qzji7RpPY7uhtJRH,CKD,intermediate,34.601494,-16.372623
vr_29L5MQMamZseux_vr5MncGM0,CKD,intermediate,23.328331,-22.251247
vr_VCSp3YFKdwFME0VQg3DSsEq_,CKD,overlap,46.25085,-16.54824
vr_B8t9NsQBw5CVMmApqUNdxhdN,CKD,intermediate,32.938324,-21.250486
vr_yQM93AgMDQ97UFx5euWHHlqg,CKD,overlap,28.588995,12.210082
vr_iGIpNdBaf6H9NyPPfBxSC6p1,CKD,intermediate,31.923414,-32.32868
